codelist_name,urn,notation,label,description
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C18,N/A,N/A,Printing and reproduction of recorded media
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C19,N/A,N/A,Manufacture of coke and refined petroleum products
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C19T22,N/A,N/A,"Manufacture of petroleum, chemical, pharmaceutical, rubber and plastic products"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C20,N/A,N/A,Manufacture of chemicals and chemical products
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C21,N/A,N/A,Manufacture of basic pharmaceutical products and pharmaceutical preparations
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C22,N/A,N/A,Manufacture of rubber and plastic products
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C22_23,N/A,N/A,Manufacture of rubber and plastic products and other non-metallic mineral products
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C23,N/A,N/A,Manufacture of other non-metallic mineral products
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C24,N/A,N/A,Manufacture of basic metals
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C24_25,N/A,N/A,"Manufacture of basic metals and fabricated metal products, except machinery and equipment"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C24T28X27,N/A,N/A,"Manufacture of metal and machinery products, except electrical equipment"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C25,N/A,N/A,"Manufacture of fabricated metal products, except machinery and equipment"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C26,N/A,N/A,"Manufacture of computer, electronic and optical products"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C262,N/A,N/A,Manufacture of computers and peripheral equipment
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C263_264,N/A,N/A,Manufacture of communication equipment and consumer electronics
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C265_266,N/A,N/A,"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks; manufacture of irradiation, electromedical and electrotherapeutic equipment"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C27,N/A,N/A,Manufacture of electrical equipment
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C28,N/A,N/A,Manufacture of machinery and equipment n.e.c.
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C29,N/A,N/A,"Manufacture of motor vehicles, trailers and semi-trailers"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C29_30,N/A,N/A,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C30,N/A,N/A,Manufacture of other transport equipment
