codelist_name,urn,notation,label,description
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).IN1,N/A,N/A,Primary income
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).IN2,N/A,N/A,Secondary income
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).IN21,N/A,N/A,Secondary income: current transfers
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).IN22,N/A,N/A,Secondary income: Other current transfers excluding personal transfers
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K,N/A,N/A,Changes in positions other than transactions
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K1,N/A,N/A,Economic appearance of assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K2,N/A,N/A,Economic disappearances of non-produced assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K21,N/A,N/A,Depletion of natural resources
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K22,N/A,N/A,Other economic disappearances of non-produced assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K3,N/A,N/A,Catastrophic losses
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K4,N/A,N/A,Uncompensated seizures
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K5,N/A,N/A,Other changes in volume not elsewhere classified
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K6,N/A,N/A,Changes in classification
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K61,N/A,N/A,Changes in sector classification and structure
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K62,N/A,N/A,Changes in classification of assets and liabilities
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K7,N/A,N/A,Revaluations / Nominal holding gains and losses
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K71,N/A,N/A,Neutral holding gains and losses
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K72,N/A,N/A,Real holding gains and losses
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K7A,N/A,N/A,Revaluations due to exchange rate changes
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K7B,N/A,N/A,Revaluations due to other price changes
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).K7B1,N/A,N/A,Other valuation effects of which due to issuance and redemption value
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).KA,N/A,N/A,Other changes excluding revaluations
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).KX,N/A,N/A,"Other volume changes in debt liabilities (K.3, K.4, K.5) (-)"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).LE,N/A,N/A,Closing balance sheet/Positions/Stocks
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).LPR_HW,N/A,N/A,Labour Productivity (per hours worked)
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).LPR_PS,N/A,N/A,Labour Productivity (per persons)
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).LS,N/A,N/A,Opening balance sheet/Positions/Stocks
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).LX,N/A,N/A,Changes in balance sheet/Positions/Stocks
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).NP,N/A,N/A,Acquisitions less disposals of non-produced assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).O21X31,N/A,N/A,Adjustment product taxes less subsidies
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OB9,N/A,N/A,Net lending/borrowing under EDP
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OCE,N/A,N/A,Total current expenditure
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OCEXD41,N/A,N/A,Primary current expenditure
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OCR,N/A,N/A,Total current revenue
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OCT,N/A,N/A,"Social benefits other than social transfers in kind + social transfers in kind, purchased market production + subsidies payable + current taxes on income, wealth, etc. + other taxes on production + property income other than interest + other current transfers"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OD41,N/A,N/A,"Interest, including flows on swaps and FRA's"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ODA,N/A,N/A,Total tax receipts
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ODB,N/A,N/A,Total receipts from taxes and social contributions after deduction of amounts assessed but unlikely to be collected
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ODC,N/A,N/A,Total receipts from taxes and social contributions (including imputed social contributions) after deduction of amounts assessed but unlikely to be collected
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ODD,N/A,N/A,Tax burden = total receipts from taxes and compulsory social contributions after deduction of amounts assessed but unlikely to be collected
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ODH,N/A,N/A,Memo: Difference between deliveries and corresponding cash payment (EDP concept)
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OEA,N/A,N/A,"Intermediate consumption, other taxes on production, current taxes on income and wealth, etc., and adjustment for the change in net equity of households in pension funds reserves"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OEB,N/A,N/A,"Other taxes on production, current taxes on income and wealth, etc. and adjustment for the change in net equity of households in pension funds reserves"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OEC,N/A,N/A,"Intermediate consumption + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in pension entitlements"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OED,N/A,N/A,"Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in pension entitlements"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA95,N/A,N/A,Total impact of differences in definitions between ESA2010 and ESA95 on GNI
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9501A,N/A,N/A,Impact of differences in definitions between ESA2010 and ESA95 on GNI: R&D created by a market producer
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9501B,N/A,N/A,Impact of differences in definitions between ESA2010 and ESA95 on GNI: R&D created by a non-market producer
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9502,N/A,N/A,Impact of differences in definitions between ESA2010 and ESA95 on GNI: Valuation of output for own final use for market producers
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9503,N/A,N/A,"Impact of differences in definitions between ESA2010 and ESA95 on GNI: Non-life insurance - Output, claims due to catastrophes, and reinsurance"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9504,N/A,N/A,Impact of differences in definitions between ESA2010 and ESA95 on GNI: Weapon systems in government recognised as capital assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9505,N/A,N/A,Impact of differences in definitions between ESA2010 and ESA95 on GNI: Decommissioning costs for large capital assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9506,N/A,N/A,"Impact of differences in definitions between ESA2010 and ESA95 on GNI: Government, public and private sector classification"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9507,N/A,N/A,Impact of differences in definitions between ESA2010 and ESA95 on GNI: Small tools
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9508,N/A,N/A,Impact of differences in definitions between ESA2010 and ESA95 on GNI: VAT-based third EU own resource
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9509,N/A,N/A,Impact of differences in definitions between ESA2010 and ESA95 on GNI: Index-linked debt instruments
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9510,N/A,N/A,Impact of differences in definitions between ESA2010 and ESA95 on GNI: Central Bank - allocation of output
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OESA9511,N/A,N/A,Impact of differences in definitions between ESA2010 and ESA95 on GNI: Land improvements recognised as a separate asset
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OGF,N/A,N/A,Guarantee fees receivable
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OIN,N/A,N/A,Gross disposable income minus final consumption expenditure
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OKE,N/A,N/A,Total capital expenditure
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OM2,N/A,N/A,Member State's net revenue from pre-acceding programmes
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OOCR,N/A,N/A,Other current revenue
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OOCT,N/A,N/A,"Current taxes on income, wealth, etc.  + other taxes on production  + property income other than interest + other current transfers  excluding current transfers to NPISH"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OOE,N/A,N/A,"Total government expenditure excluding: interest, calls on guarantees, capital injections recorded as capital transfers"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OOEE,N/A,N/A,"Total government expenditure excluding: interest, calls on guarantees, capital injections recorded as capital transfers, capital transfers recorded in the context of asset purchases"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OOR,N/A,N/A,Other revenue
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OP,N/A,N/A,Purchases
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OPI,N/A,N/A,"Gross disposable income - gross operating surplus and mixed income - compensation of employees - social contribution and social benefits, other than social transfer in kind - current taxes on income, wealth, etc."
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ORADJ,N/A,N/A,Adjustments for scope and valuation of Maastricht debt
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ORD41A,N/A,N/A,Difference between interest paid (+) and accrued (EDP D.41)(-)
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ORD41FA,N/A,N/A,Difference between interest (EDP D.41) accrued(-) and paid (+) of which: interest flows attributable to swaps and FRAs
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ORFCD,N/A,N/A,Appreciation(+)/depreciation(-) of foreign-currency debt
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ORINV,N/A,N/A,Issuances above(-)/below(+) nominal value
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ORNF,N/A,N/A,Non-financial transactions not included in the working balance
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OROA,N/A,N/A,Other adjustments (+/-) in EDP Table 2
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ORRNV,N/A,N/A,Redemptions of debt above(+)/below(-) nominal  value
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ORWB,N/A,N/A,Working balance
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).ORWB_E,N/A,N/A,Working balance (+/-) of entities not part of the subsector
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OSA,N/A,N/A,"Savings, gross plus net capital transfers"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OSP,N/A,N/A,Social benefits other than social transfers in kind and social transfers in kind - purchased market production + current transfers to NPISHs
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OTE,N/A,N/A,Total government expenditure
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OTEK,N/A,N/A,"Total expenditure other than Compensation of employees, Social benefits and social transfers in kind for products supplied to HH via market producers, Intermediate consumption and Gross fixed capital formation"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OTEXD41,N/A,N/A,Primary expenditure
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OTGL,N/A,N/A,Trading gain or loss
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OTR,N/A,N/A,Total government revenue
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OTRE,N/A,N/A,Net revenue / cost for general government (only including transactions as defined for EDP financial crisis tables and to be used with custom breakdown FC)
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OTSR,N/A,N/A,Total receipts from taxes and social contributions
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OTTM,N/A,N/A,Trade and transport margins
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OTTM1,N/A,N/A,Trade margins
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).OTTM2,N/A,N/A,Transport margins
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P,N/A,N/A,Transactions in products
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P1,N/A,N/A,Output
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P11,N/A,N/A,Market output
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P118,N/A,N/A,Implicit service fees in nonlife insurance premiums and standardized guarantees
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P119,N/A,N/A,Financial Intermediation Services Indirectly Measured (FISIM)
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P12,N/A,N/A,Output for own final use
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P12A,N/A,N/A,Own-account capital formation
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P12B,N/A,N/A,Production of goods and services used as compensation of employees in kind
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P13,N/A,N/A,Non-market output
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P131,N/A,N/A,Payments for other non-market output
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P131A,N/A,N/A,Administrative fees
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P131B,N/A,N/A,Incidental sales by nonmarket establishments
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P132,N/A,N/A,"Other non-market output, n.e.c."
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P1M,N/A,N/A,Market output and output for own final use
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P1O,N/A,N/A,"Market output, output for own final use and payments for other non-market output"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P2,N/A,N/A,Intermediate consumption
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P28,N/A,N/A,Service charges payable to providers of nonlife insurance
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P29,N/A,N/A,Intermediate consumption resulting from FISIM allocation
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P3,N/A,N/A,Final consumption expenditure
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P31,N/A,N/A,Individual consumption expenditure
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P311,N/A,N/A,Individual consumption expenditure of durable goods
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P312,N/A,N/A,Individual consumption expenditure of semi-durable goods
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P313,N/A,N/A,Individual consumption expenditure of non-durable goods
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P314,N/A,N/A,Individual consumption expenditure of services
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P31K,N/A,N/A,Individual consumption expenditure of semi-durable and non-durable goods and services
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P32,N/A,N/A,Collective consumption expenditure
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P3T5,N/A,N/A,Domestic demand
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P3T6,N/A,N/A,Total demand
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P4,N/A,N/A,Actual final consumption
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P41,N/A,N/A,Actual individual consumption
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P42,N/A,N/A,Actual collective consumption
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5,N/A,N/A,Gross capital formation
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P511,N/A,N/A,Acquisitions less disposals of fixed assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5111,N/A,N/A,Acquisitions of new fixed assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5112,N/A,N/A,Acquisitions of existing fixed assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5113,N/A,N/A,Disposals of existing fixed assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P512,N/A,N/A,Costs of ownership transfer on non-produced assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P51C,N/A,N/A,Consumption of fixed capital
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P51C1,N/A,N/A,Consumption of fixed capital on gross operating surplus
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P51C2,N/A,N/A,Consumption of fixed capital on gross mixed income
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P51G,N/A,N/A,Gross fixed capital formation
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P51N,N/A,N/A,Net fixed capital formation
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P52,N/A,N/A,Changes in inventories
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P53,N/A,N/A,Acquisitions less disposals of valuables
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5K,N/A,N/A,"Changes in inventories (P52), acquisition less disposals of valuables (P53) and acquisition less disposals of non-financial non-produced assets (NP)"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5L,N/A,N/A,Gross capital formation and acquisitions less disposals of non-produced assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5LN,N/A,N/A,Net capital formation and acquisitions less disposals of non-produced assets
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5M,N/A,N/A,Changes in inventories and acquisition less disposals of valuables
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5N,N/A,N/A,Net capital formation
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5OA,N/A,N/A,Own-account capital formation
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5OA1,N/A,N/A,"Own-account capital formation, compensation of employees"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5OA11,N/A,N/A,"Own-account capital formation, wages and salaries in cash"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5OA12,N/A,N/A,"Own-account capital formation, wages and salaries in kind"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5OA13,N/A,N/A,"Own-account capital formation, actual employers' social contributions"
"Stocks, Transactions, Other Flows",urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_NA_STO(1.9).P5OA14,N/A,N/A,"Own-account capital formation, imputed employers' social contributions"
